link	volume	year	download_link
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Outdoor-Air-Pollution-2015	109	2015	https://publications.iarc.fr/_publications/media/download/4317/b1f528f1fca20965a2b48a220f47447c1d94e6d1.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Drugs-And-Herbal-Products-2015	108	2015	https://publications.iarc.fr/_publications/media/download/3236/01b340416a6d5cb00c0ae3da38a1e5ae4de26d76.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Polychlorinated-Biphenyls-And-Polybrominated-Biphenyls-2015	107	2015	https://publications.iarc.fr/_publications/media/download/5979/c395f7fad077e8a5774c72c089a212d67cc18de1.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Trichloroethylene-Tetrachloroethylene-And-Some-Other-Chlorinated-Agents-2014	106	2014	https://publications.iarc.fr/_publications/media/download/6688/c1deb8e919b7f30f2505d2f3b5ab3e79f300d097.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Diesel-And-Gasoline-Engine-Exhausts-And-Some-Nitroarenes-2013	105	2013	https://publications.iarc.fr/_publications/media/download/3181/e6bd0692f1a9bb46589d3ca2d8178fa8dcd05ba5.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Malaria-And-Some-Polyomaviruses-SV40-BK-JC-And-Merkel-Cell-Viruses--2013	104	2013	https://publications.iarc.fr/_publications/media/download/3167/d93f82709ea1a6ece51789d858d1a10a39c64e0e.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Bitumens-And-Bitumen-Emissions-And-Some-Em-N-Em---And-Em-S-Em--Heterocyclic-Polycyclic-Aromatic-Hydrocarbons-2013	103	2013	https://publications.iarc.fr/_publications/media/download/3156/6d351d0378133be6461d7e4e71c2041f8ae6bb76.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Non-ionizing-Radiation-Part-2-Radiofrequency-Electromagnetic-Fields-2013	102	2013	https://publications.iarc.fr/_publications/media/download/3143/6464cac7e8eca3fa20f11d4d134613e4870158c5.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Chemicals-Present-In-Industrial-And-Consumer-Products-Food-And-Drinking-water-2012	101	2012	https://publications.iarc.fr/_publications/media/download/3116/9feb6c7a7913e3cb4abafc95eeb2fa4d62c72c59.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Pharmaceuticals-2012	100A	2012	https://publications.iarc.fr/_publications/media/download/2978/2a1167e2a1fb31b8857cc57923525a220352fe81.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Biological-Agents-2012	100B	2012	https://publications.iarc.fr/_publications/media/download/3007/d1d1e393a84cbb196956337642989bf03c8cd486.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Arsenic-Metals-Fibres-And-Dusts-2012	100C	2012	https://publications.iarc.fr/_publications/media/download/6143/ef2dcba35d394362f6f5346d042bd48e5792ded3.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Radiation-2012	100D	2012	https://publications.iarc.fr/_publications/media/download/3045/d295876be020b721ff7209083d5782c910b2ed1e.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Personal-Habits-And-Indoor-Combustions-2012	100E	2012	https://publications.iarc.fr/_publications/media/download/6687/174612edbbdc3cf3d1d76d9cb16091ac92dbabdc.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Chemical-Agents-And-Related-Occupations-2012	100F	2012	https://publications.iarc.fr/_publications/media/download/3076/73443059d4ec0adde733204bab30939c7470dd2b.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Aromatic-Amines-Organic-Dyes-And-Related-Exposures-2010	99	2010	https://publications.iarc.fr/_publications/media/download/2958/04f67887be058cb7ae62b10572bf41e37643b15c.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Painting-Firefighting-And-Shiftwork-2010	98	2010	https://publications.iarc.fr/_publications/media/download/2945/aaa53adf824806c6e0b36ebdcb4ef93973e43227.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Alcohol-Consumption-And-Ethyl-Carbamate-2010	96	2010	https://publications.iarc.fr/_publications/media/download/2889/660808fd4068573b9269334948e408cc5a51b43b.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Household-Use-Of-Solid-Fuels-And-High-temperature-Frying-2010	95	2010	https://publications.iarc.fr/_publications/media/download/2878/86ee5a9f2be0511282136e83d40ed69c45473129.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Ingested-Nitrate-And-Nitrite-And-Cyanobacterial-Peptide-Toxins-2010	94	2010	https://publications.iarc.fr/_publications/media/download/2867/c9f9c85d6dd616d774bdbbe67bae77bddeb1b4de.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Carbon-Black-Titanium-Dioxide-And-Talc-2010	93	2010	https://publications.iarc.fr/_publications/media/download/2856/bf06ffe99ebb4b29b5feebe09604a6e5920d2927.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Non-heterocyclic-Polycyclic-Aromatic-Hydrocarbons-And-Some-Related-Exposures-2010	92	2010	https://publications.iarc.fr/_publications/media/download/2841/a076b09df49aeeb8c7922378fe4f372fda3edd13.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/1-3-Butadiene-Ethylene-Oxide-And-Vinyl-Halides-Vinyl-Fluoride-Vinyl-Chloride-And-Vinyl-Bromide--2008	97	2008	https://publications.iarc.fr/_publications/media/download/2931/d7a4e802483b1374482768a36a7c78e1b33aa1c8.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Combined-Estrogen--Progestogen-Contraceptives-And-Combined-Estrogen-Progestogen-Menopausal-Therapy-2007	91	2007	https://publications.iarc.fr/_publications/media/download/2814/983a924d3b5d3213e8dc4e7c531bc9c23aec5440.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Human-Papillomaviruses-2007	90	2007	https://publications.iarc.fr/_publications/media/download/2799/9c5cbdc5c9ae322a22b5026c9e594451149a763f.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Smokeless-Tobacco-And-Some-Tobacco-specific-Em-N-Em--Nitrosamines-2007	89	2007	https://publications.iarc.fr/_publications/media/download/2788/60479f24396adb10c2a046e21c4cdac3ec08ea8d.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Formaldehyde-2-Butoxyethanol-And-1--Em-Tert-Em--Butoxypropan-2-ol-2006	88	2006	https://publications.iarc.fr/_publications/media/download/2757/c6a9fc1529ff03f196d3595caf6e198cb9b104ce.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Inorganic-And-Organic-Lead-Compounds-2006	87	2006	https://publications.iarc.fr/_publications/media/download/2742/4c6e963acd7ad3b767d0720848796ef7099dd02a.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Cobalt-In-Hard-Metals-And-Cobalt-Sulfate-Gallium-Arsenide-Indium-Phosphide-And-Vanadium-Pentoxide-2006	86	2006	https://publications.iarc.fr/_publications/media/download/2705/29aacee6b89ff816188dcd990b61a16ad6486eec.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Betel-quid-And-Areca-nut-Chewing-And-Some-Areca-nut-derived-Nitrosamines-2004	85	2004	https://publications.iarc.fr/_publications/media/download/2683/6e3997066d7dd40048c519550cfb2ad627aac6f0.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Some-Drinking-Water-Disinfectants-And-Contaminants-Including-Arsenic-2004	84	2004	https://publications.iarc.fr/_publications/media/download/2661/be62bf756a4a6eaafe4ca5599d2bf8c73427d788.pdf
https://publications.iarc.fr/Book-And-Report-Series/Iarc-Monographs-On-The-Identification-Of-Carcinogenic-Hazards-To-Humans/Tobacco-Smoke-And-Involuntary-Smoking-2004	83	2004	https://publications.iarc.fr/_publications/media/download/2636/1567f1ed6fa20d5ef35978ef5b585b63e6101379.pdf
